"opportunity_id","lead_id","opportunity_name","status","created_at"
"37","69","Opportunity for Cynthia Hale","Closed Won","2025-02-10 21:37:20.920822"
"38","70","Opportunity for Peter Ray","Closed Lost","2025-02-08 02:37:04.033447"
"39","71","Opportunity for Eric Carpenter","Closed Lost","2025-02-15 11:34:56.838083"
"40","72","Opportunity for Ronald Shaffer","Open","2025-02-12 23:50:30.370079"
"41","76","Opportunity for Susan Woods","Closed Won","2025-02-08 20:06:23.270267"
"42","77","Opportunity for Sara Lee","Open","2025-02-17 09:34:08.212289"
"43","78","Opportunity for Albert Welch","Open","2025-02-16 14:42:05.689867"
"44","81","Opportunity for Philip Thompson","Open","2025-02-08 23:22:31.870118"
"45","83","Opportunity for Wyatt Gilmore","Closed Lost","2025-02-12 21:44:54.170946"
"46","84","Opportunity for Michelle Smith","Closed Lost","2025-02-14 06:48:38.094245"
"47","86","Opportunity for Jessica Schneider","Open","2025-02-15 03:14:09.336719"
"48","87","Opportunity for Courtney Scott","Closed Won","2025-02-16 22:23:23.847957"
"49","88","Opportunity for Ashley Richards","Closed Lost","2025-02-18 09:25:15.834316"
"50","89","Opportunity for Christopher Williams","Closed Lost","2025-02-20 03:25:08.114305"
"51","91","Opportunity for Dakota Bates","Closed Lost","2025-02-09 10:58:21.700423"
"52","93","Opportunity for Crystal Reid","Open","2025-02-11 05:00:37.802457"
"53","94","Opportunity for Jasmine Payne","Open","2025-02-23 00:28:23.666375"
"54","98","Opportunity for Frank Mcbride","Closed Won","2025-02-19 23:59:53.924587"
"55","99","Opportunity for Courtney Reed","Closed Won","2025-02-14 21:11:48.626175"
"56","100","Opportunity for Kathryn Trevino","Closed Won","2025-02-13 12:28:12.484756"
"57","101","Opportunity for Mrs. Jasmine Hutchinson","Open","2025-06-26 13:13:53.615907"
"58","103","Opportunity for Michael Padilla","Open","2025-06-14 05:08:35.547969"
"59","107","Opportunity for David Ayala","Closed Lost","2025-06-30 08:06:37.886594"
"60","108","Opportunity for Clifford Smith","Closed Won","2025-07-16 06:02:00.487497"
"61","109","Opportunity for Danielle Foster","Open","2025-06-24 01:56:26.556878"
"62","110","Opportunity for Julie Obrien","Open","2025-07-23 18:28:05.457751"
"63","112","Opportunity for Peter Cooke","Closed Won","2025-07-09 06:26:45.567228"
"64","114","Opportunity for Terry Parsons","Open","2025-06-22 16:13:14.282547"
"65","116","Opportunity for Jennifer Scott","Closed Lost","2025-07-30 16:30:09.989597"
"66","118","Opportunity for Kurt Larson","Closed Won","2025-07-05 15:40:03.115984"
"67","122","Opportunity for Wesley Johnson","Open","2025-07-18 16:40:25.821014"
"68","123","Opportunity for Nancy Lambert","Closed Lost","2025-08-05 15:14:49.711124"
"69","126","Opportunity for Jason Kline","Closed Lost","2025-06-24 03:09:39.444418"
"70","128","Opportunity for Amanda Bryan","Open","2025-07-29 17:11:36.739071"
"71","130","Opportunity for Connor Jones","Closed Lost","2025-07-02 18:00:07.564871"
"72","134","Opportunity for Kelsey Butler","Closed Lost","2025-07-01 09:44:02.673927"
"73","135","Opportunity for Anne Williams","Closed Lost","2025-07-26 19:56:42.817531"
"74","136","Opportunity for Erik Booker","Open","2025-07-27 21:56:15.398035"
"75","137","Opportunity for Edward Johnson","Closed Won","2025-06-18 06:12:53.090690"
"76","141","Opportunity for Lauren Doyle","Closed Lost","2025-06-21 04:55:02.057061"
"77","144","Opportunity for Phillip Cruz","Closed Won","2025-07-10 22:50:44.555486"
"78","146","Opportunity for Jim Thompson","Closed Lost","2025-06-21 13:54:23.787923"
"79","147","Opportunity for Jessica Miller DDS","Open","2025-07-12 10:55:01.140992"
"80","149","Opportunity for Karen Maxwell","Closed Lost","2025-07-18 15:14:34.479020"
"81","150","Opportunity for Justin Green","Closed Lost","2025-06-29 20:28:42.223868"
"82","151","Opportunity for Deborah Whitney","Closed Won","2025-07-03 05:15:19.239014"
"83","152","Opportunity for Michael Fisher","Closed Won","2025-06-28 00:54:57.135271"
"84","157","Opportunity for Tanya Brown","Open","2025-06-27 16:51:39.250879"
"85","158","Opportunity for Glenda Orr","Open","2025-08-02 23:56:28.109368"
"86","160","Opportunity for Paul Jones","Open","2025-06-20 22:53:28.697012"
"87","162","Opportunity for James Cruz","Open","2025-07-25 10:31:33.397629"
"88","164","Opportunity for Jennifer Rodriguez","Closed Won","2025-06-27 03:23:49.306774"
"89","165","Opportunity for Susan Brown","Closed Lost","2025-06-22 08:28:35.939374"
"90","168","Opportunity for Pamela Valdez","Closed Lost","2025-07-01 22:16:02.094072"
"91","169","Opportunity for Jesse Alexander","Closed Won","2025-06-23 01:37:38.128304"
"92","171","Opportunity for Kayla Singleton","Closed Won","2025-08-01 02:05:52.262412"
"93","182","Opportunity for Robert Brown","Open","2025-08-02 05:24:34.121791"
"94","186","Opportunity for Curtis Campbell","Closed Lost","2025-06-30 20:27:59.631246"
"95","188","Opportunity for Kyle Osborne","Closed Lost","2025-06-26 06:33:36.041209"
"96","189","Opportunity for Lisa Tran","Closed Lost","2025-06-24 19:22:07.096195"
"97","192","Opportunity for Frank Thomas","Closed Lost","2025-06-27 15:43:55.537530"
"98","193","Opportunity for Kristin Giles","Open","2025-06-30 19:28:16.416976"
"99","194","Opportunity for Michael Curtis","Closed Won","2025-06-20 17:43:11.628698"
"100","197","Opportunity for Jeffrey Cook","Open","2025-07-01 22:45:38.244730"
"101","198","Opportunity for Andrew Mclaughlin","Closed Won","2025-06-25 20:16:59.830653"
"102","199","Opportunity for Pamela Williams","Open","2025-06-25 02:29:53.457873"
"103","202","Opportunity for Kelsey Rivera","Closed Won","2025-09-12 19:54:36.384560"
"104","203","Opportunity for Kyle Davis","Closed Lost","2025-08-30 00:26:44.751487"
"105","205","Opportunity for Melanie Jenkins","Closed Won","2025-05-26 00:46:16.248839"
"106","208","Opportunity for Jennifer Ayers DDS","Open","2025-10-09 16:07:42.225565"
"107","214","Opportunity for Stephen Golden","Open","2025-05-25 10:15:29.583060"
"108","215","Opportunity for Gary Jones","Open","2025-08-29 06:50:05.825382"
"109","217","Opportunity for Travis Hampton","Closed Won","2025-12-01 11:42:35.569097"
"110","219","Opportunity for Brandon Allen","Closed Won","2025-08-14 08:10:35.458596"
"111","220","Opportunity for Dominic Salas","Open","2025-06-27 12:37:47.570432"
"112","221","Opportunity for Cynthia Jordan","Closed Won","2025-06-21 20:17:42.685049"
"113","222","Opportunity for Mary Yoder","Open","2025-12-07 06:58:11.493751"
"114","223","Opportunity for Amber Hill","Open","2025-09-18 04:58:06.309725"
"115","224","Opportunity for Justin Hughes","Closed Lost","2025-07-20 10:13:13.793650"
"116","225","Opportunity for Ryan Morris","Open","2025-06-19 09:27:03.117285"
"117","226","Opportunity for Jamie Tucker","Closed Won","2025-06-20 17:12:44.883234"
"118","227","Opportunity for Steven Moss","Closed Won","2025-09-12 13:24:29.908967"
"119","229","Opportunity for Peter Smith","Open","2025-10-11 09:59:52.425628"
"120","232","Opportunity for Thomas Lawson","Closed Lost","2025-08-24 01:57:05.767115"
"121","234","Opportunity for Kaitlyn Bailey","Closed Lost","2025-11-18 20:09:18.066480"
"122","236","Opportunity for Laura Hill","Open","2025-06-16 21:51:14.804216"
"123","238","Opportunity for Lisa Bradshaw","Closed Lost","2025-10-30 22:20:51.951995"
"124","243","Opportunity for Francisco Boyd","Closed Lost","2025-09-09 20:57:24.604278"
"125","247","Opportunity for Emily Fleming","Closed Won","2025-06-10 00:22:37.778630"
"126","250","Opportunity for Elizabeth Gonzalez","Closed Lost","2025-06-10 02:07:03.615352"
"127","252","Opportunity for Kimberly Jackson","Closed Won","2025-10-02 18:06:07.269371"
"128","255","Opportunity for Rebecca Montgomery","Closed Won","2025-06-16 22:17:41.375946"
"129","257","Opportunity for Pamela Hogan DDS","Closed Lost","2025-09-19 06:06:37.572599"
"130","259","Opportunity for Kelli Hatfield","Closed Lost","2025-06-14 03:16:09.791395"
"131","264","Opportunity for Brian Willis","Closed Lost","2025-07-11 19:00:49.477673"
"132","265","Opportunity for Brian Morris","Closed Won","2025-11-25 05:12:59.099911"
"133","266","Opportunity for Matthew Sullivan","Open","2025-06-20 00:27:06.939072"
"134","267","Opportunity for Laura Garner","Open","2025-09-05 02:36:43.696651"
"135","268","Opportunity for Allison Moreno","Closed Won","2025-11-06 21:13:46.323369"
"136","272","Opportunity for Katherine Lewis","Closed Lost","2025-09-12 15:41:45.411508"
"137","274","Opportunity for Tyler Sims","Closed Won","2025-05-06 20:18:35.691836"
"138","275","Opportunity for Amy Patterson","Closed Won","2025-11-28 17:46:00.030807"
"139","278","Opportunity for Jimmy Lopez","Open","2025-10-18 16:52:58.561468"
"140","282","Opportunity for Joseph Stevens","Closed Won","2025-06-05 11:11:25.363709"
"141","283","Opportunity for William Lyons","Open","2025-11-28 23:04:39.251142"
"142","284","Opportunity for Crystal Ford","Open","2025-08-19 21:03:20.175335"
"143","285","Opportunity for Tiffany Cardenas","Open","2025-05-22 22:13:14.222059"
"144","286","Opportunity for Darrell Chavez","Open","2025-06-08 01:35:20.651560"
"145","287","Opportunity for Zachary Carpenter","Open","2025-05-01 06:44:53.121451"
"146","288","Opportunity for Mariah Ortiz","Closed Won","2025-08-20 01:45:21.448713"
"147","290","Opportunity for Lisa King","Open","2025-10-17 21:18:27.281935"
"148","291","Opportunity for Timothy Simpson","Closed Won","2025-07-19 12:06:14.307269"
"149","292","Opportunity for Ronnie Little","Open","2025-09-05 17:59:05.400278"
"150","293","Opportunity for Brandy Nash","Closed Lost","2025-09-12 22:06:50.898970"
"151","299","Opportunity for Christine Hester","Closed Lost","2025-09-09 15:43:47.255361"
"152","300","Opportunity for Kimberly Mitchell","Closed Won","2025-09-06 10:31:37.868139"
"153","303","Opportunity for Jason Wilkins","Open","2025-09-09 08:45:47.171269"
"154","305","Opportunity for Daniel Olsen V","Closed Won","2025-09-10 08:45:47.577499"
"155","307","Opportunity for Kimberly Prince","Open","2025-09-12 08:45:47.757134"
"156","308","Opportunity for Jose Kim","Open","2025-09-11 08:45:47.603696"
"157","309","Opportunity for Teresa Morton","Open","2025-09-09 08:45:47.791225"
"158","314","Opportunity for Adrienne Hess","Open","2025-09-13 08:45:47.872090"
"159","317","Opportunity for Kristen Alexander","Closed Won","2025-09-12 08:45:47.402347"
"160","318","Opportunity for Sherri Chavez","Closed Won","2025-09-04 08:45:47.766015"
"161","319","Opportunity for Larry Stewart","Closed Lost","2025-09-09 08:45:47.942585"
"162","320","Opportunity for Christina Hopkins","Closed Won","2025-09-13 08:45:47.151163"
"163","321","Opportunity for Mark Brown","Closed Lost","2025-09-09 08:45:47.008038"
"164","323","Opportunity for Monique Franklin","Open","2025-09-08 08:45:47.226277"
"165","327","Opportunity for Elijah Nelson","Closed Won","2025-09-11 08:45:47.473218"
"166","328","Opportunity for Timothy Garcia","Closed Won","2025-09-11 08:45:47.391532"
"167","331","Opportunity for Charles Joyce","Closed Won","2025-09-11 08:45:47.748329"
"168","332","Opportunity for Benjamin Arellano","Open","2025-09-12 08:45:47.739716"
"169","333","Opportunity for Olivia Ward","Open","2025-09-09 08:45:47.537806"
"170","334","Opportunity for Mrs. Katherine Carter","Closed Won","2025-09-05 08:45:47.785765"
"171","337","Opportunity for Kyle Boyer","Open","2025-09-04 08:45:47.627321"
"172","338","Opportunity for Jeffrey Gonzalez","Closed Lost","2025-09-04 08:45:47.064939"
"173","342","Opportunity for Amanda Gibson","Closed Won","2025-09-07 08:45:47.003042"
"174","343","Opportunity for James Nash","Open","2025-09-13 08:45:47.323759"
"175","345","Opportunity for Brandon Juarez","Closed Lost","2025-09-12 08:45:47.332579"
"176","350","Opportunity for Natalie Johnson","Open","2025-09-08 08:45:47.080761"
"177","351","Opportunity for Stephen Donovan","Open","2025-09-09 08:45:47.336965"
"178","354","Opportunity for Kelly Randall","Closed Won","2025-09-10 08:45:47.379949"
"179","357","Opportunity for Scott Nguyen","Closed Won","2025-09-12 08:45:47.604696"
"180","358","Opportunity for Dawn Graham","Closed Lost","2025-09-06 08:45:47.682399"
"181","359","Opportunity for Kimberly Rodriguez","Closed Lost","2025-09-06 08:45:47.960281"
"182","362","Opportunity for Sophia Oconnor","Open","2025-09-13 08:45:47.864242"
"183","363","Opportunity for James Richardson","Closed Lost","2025-09-05 08:45:47.757244"
"184","364","Opportunity for Kimberly Thompson","Closed Lost","2025-09-12 08:45:47.214459"
"185","367","Opportunity for Jeffrey Carlson","Closed Won","2025-09-13 08:45:47.739863"
"186","372","Opportunity for Nancy Oconnor","Closed Won","2025-09-10 08:45:47.751121"
"187","374","Opportunity for Tara Brown","Open","2025-09-10 08:45:47.826309"
"188","375","Opportunity for Tara Medina","Open","2025-09-07 08:45:47.451092"
"189","379","Opportunity for Michael Ritter","Open","2025-09-10 08:45:47.827278"
"190","381","Opportunity for Douglas Barrett","Open","2025-09-10 08:45:47.911213"
"191","382","Opportunity for Sheila Weber","Open","2025-09-13 08:45:47.588906"
"192","384","Opportunity for Dominique Bowen","Closed Lost","2025-09-12 08:45:47.294153"
"193","388","Opportunity for Charles Knox","Open","2025-09-10 08:45:47.014025"
"194","389","Opportunity for Robert Nicholson","Closed Won","2025-09-09 08:45:47.816383"
"195","391","Opportunity for Alice Fox","Closed Won","2025-09-07 08:45:47.871516"
"196","392","Opportunity for Jeffery Christian","Open","2025-09-07 08:45:47.006238"
"197","394","Opportunity for Jennifer Johnson","Open","2025-09-12 08:45:47.041371"
"198","395","Opportunity for Gwendolyn Davis","Closed Won","2025-09-12 08:45:47.799245"
"199","396","Opportunity for Michelle Orozco","Closed Lost","2025-09-05 08:45:47.029164"
"200","397","Opportunity for Tyler Moyer","Closed Won","2025-09-08 08:45:47.332613"
"201","398","Opportunity for Randy Fry","Open","2025-09-13 08:45:47.674132"
"202","400","Opportunity for James Burns MD","Closed Won","2025-09-08 08:45:47.243916"
"203","402","Opportunity for Robert Day","Closed Lost","2025-05-16 23:25:15.354666"
"204","404","Opportunity for Aaron English","Open","2025-04-13 12:09:08.052701"
"205","405","Opportunity for Amanda Watkins","Closed Lost","2025-02-14 02:51:31.900337"
"206","407","Opportunity for Cameron Berry","Closed Lost","2025-04-24 08:24:23.375874"
"207","408","Opportunity for John Peters","Open","2025-04-18 01:38:16.301694"
"208","409","Opportunity for Jane Reyes","Open","2025-05-09 20:01:41.606229"
"209","410","Opportunity for Leslie Delgado","Closed Lost","2025-02-09 09:22:15.601055"
"210","411","Opportunity for Anna Williams","Closed Lost","2025-05-11 06:51:02.685516"
"211","414","Opportunity for Nancy Brown","Closed Won","2025-03-06 05:53:29.593131"
"212","418","Opportunity for Mrs. Kendra Williams","Closed Won","2025-03-08 10:30:23.111484"
"213","420","Opportunity for Steven Lane","Closed Lost","2025-05-10 21:23:06.871434"
"214","421","Opportunity for Brenda Smith","Closed Lost","2025-03-26 01:56:17.174302"
"215","422","Opportunity for Dr. Jessica Conner","Open","2025-02-25 05:24:06.950132"
"216","423","Opportunity for Amy Green","Open","2025-03-15 07:47:48.436166"
"217","424","Opportunity for Jacob Terry","Closed Lost","2025-04-10 02:12:03.337864"
"218","426","Opportunity for Edward Terrell","Open","2025-03-30 02:35:07.216219"
"219","427","Opportunity for Anna Shelton","Closed Won","2025-04-30 18:12:05.168753"
"220","428","Opportunity for Antonio Fisher","Closed Lost","2025-05-26 22:55:03.972371"
"221","434","Opportunity for Gary Munoz","Closed Won","2025-05-17 11:17:33.724040"
"222","436","Opportunity for Oscar Avery","Open","2025-04-16 06:51:53.197065"
"223","438","Opportunity for Ryan Welch","Closed Lost","2025-02-17 23:52:56.997014"
"224","439","Opportunity for Christopher Bailey","Closed Won","2025-05-20 09:31:48.281033"
"225","441","Opportunity for Nathan Elliott","Closed Won","2025-03-30 13:02:31.460469"
"226","442","Opportunity for Cynthia Jimenez","Closed Lost","2025-02-12 18:19:39.355060"
"227","446","Opportunity for Sophia Wilson","Open","2025-05-25 21:21:05.485730"
"228","448","Opportunity for Christopher Johnson","Closed Won","2025-03-25 08:26:52.423312"
"229","455","Opportunity for Amanda Duncan","Closed Lost","2025-05-19 07:49:02.917205"
"230","456","Opportunity for Angela Lewis","Closed Lost","2025-05-15 21:27:52.226701"
"231","457","Opportunity for Amanda Pratt","Closed Lost","2025-05-25 10:23:00.565970"
"232","458","Opportunity for Michele Moore","Open","2025-03-10 18:40:21.256042"
"233","460","Opportunity for Anthony Morrow","Closed Lost","2025-04-03 19:43:05.066600"
"234","463","Opportunity for Alexander Phillips","Closed Won","2025-04-18 22:09:40.131799"
"235","466","Opportunity for Katherine Neal","Open","2025-03-23 08:14:44.601525"
"236","467","Opportunity for Nancy Johnson","Closed Won","2025-04-06 11:06:24.916971"
"237","471","Opportunity for Joseph Miller","Closed Lost","2025-03-03 16:56:15.351487"
"238","477","Opportunity for Kristen Dorsey","Closed Lost","2025-03-13 12:02:29.015000"
"239","482","Opportunity for Randy Garcia","Closed Won","2025-03-25 19:28:59.907408"
"240","483","Opportunity for Katie Thomas","Closed Won","2025-03-22 16:30:43.510912"
"241","490","Opportunity for Natalie Lawson MD","Open","2025-04-14 12:34:29.544597"
"242","493","Opportunity for Jermaine Dominguez","Closed Won","2025-03-14 01:32:21.278123"
"243","494","Opportunity for Jason Williams","Closed Lost","2025-04-11 07:58:38.298738"
"244","497","Opportunity for Dana Holden","Closed Lost","2025-04-19 15:45:46.260712"
"245","498","Opportunity for Jeffrey Hanna","Closed Won","2025-02-05 09:42:25.575197"
"246","500","Opportunity for Keith Harris","Closed Lost","2025-05-22 09:04:33.613271"
"247","504","Opportunity for Debra King","Open","2025-05-16 10:48:34.000703"
"248","509","Opportunity for Daniel Jones","Closed Won","2025-05-11 07:42:17.667586"
"249","510","Opportunity for Morgan Underwood","Closed Lost","2025-06-25 06:43:17.469434"
"250","511","Opportunity for Zachary Rose","Closed Won","2025-07-04 12:22:17.326986"
"251","513","Opportunity for Melanie Watts","Closed Won","2025-06-09 16:53:22.196896"
"252","516","Opportunity for David Chen","Closed Lost","2025-06-24 13:49:41.737870"
"253","519","Opportunity for Jacob Hernandez","Closed Lost","2025-06-24 11:30:15.951630"
"254","523","Opportunity for Carl Thomas","Closed Won","2025-06-21 04:17:04.267949"
"255","524","Opportunity for Steven Davis","Closed Won","2025-06-18 11:50:45.815308"
"256","526","Opportunity for Alexandra Martin","Closed Won","2025-06-23 14:32:27.074222"
"257","527","Opportunity for Tiffany Garcia","Closed Won","2025-07-06 16:13:17.135616"
"258","536","Opportunity for Julie Taylor","Closed Won","2025-05-15 04:04:36.984482"
"259","538","Opportunity for Jacob Noble","Open","2025-07-09 07:35:44.975056"
"260","541","Opportunity for Steven Wood","Closed Won","2025-06-23 19:44:58.143233"
"261","545","Opportunity for Kathryn Hopkins","Closed Won","2025-05-18 18:28:45.186680"
"262","546","Opportunity for Joshua Gregory","Open","2025-05-13 17:09:18.380069"
"263","547","Opportunity for Kara Callahan","Closed Won","2025-07-09 05:39:01.107739"
"264","550","Opportunity for Tamara Bradford","Open","2025-05-26 19:09:13.675989"
"265","551","Opportunity for Danielle Patterson","Closed Lost","2025-06-22 04:12:15.521131"
"266","555","Opportunity for Tiffany Ward","Open","2025-06-20 02:17:45.314750"
"267","560","Opportunity for Wendy Tanner","Closed Won","2025-07-03 13:34:27.574109"
"268","564","Opportunity for Alex Santana","Closed Lost","2025-06-27 19:21:34.289386"
"269","566","Opportunity for Steven Gonzalez","Closed Won","2025-05-09 09:10:29.740489"
"270","568","Opportunity for Jesse Edwards","Open","2025-06-12 01:37:41.934882"
"271","571","Opportunity for Michael Clayton","Open","2025-06-25 15:53:25.392052"
"272","572","Opportunity for Michael Haynes","Closed Won","2025-07-06 21:29:26.748657"
"273","573","Opportunity for Noah Carroll","Closed Lost","2025-06-07 03:51:24.223673"
"274","575","Opportunity for Richard Johnson","Open","2025-06-11 22:11:55.363743"
"275","576","Opportunity for Christopher Valencia","Closed Lost","2025-05-15 20:33:55.329656"
"276","586","Opportunity for Jacqueline Aguilar","Closed Won","2025-06-23 19:25:09.081221"
"277","589","Opportunity for Jason Guerra","Open","2025-05-17 06:17:16.008261"
"278","591","Opportunity for Karen Jackson MD","Closed Lost","2025-06-29 14:33:00.844760"
"279","592","Opportunity for William Strickland","Closed Won","2025-05-26 09:37:19.777934"
"280","596","Opportunity for Jennifer Jones","Open","2025-05-25 09:11:32.245662"
"281","597","Opportunity for Craig Reeves","Open","2025-06-18 19:38:24.965885"
"282","599","Opportunity for Brian Blankenship","Open","2025-05-31 13:27:16.755882"
"283","600","Opportunity for Christine Collins","Open","2025-07-03 10:21:49.255133"
"284","601","Opportunity for Rebecca Wallace","Closed Won","2025-06-17 13:57:45.515641"
"285","602","Opportunity for Katherine Porter","Closed Lost","2025-05-08 11:14:04.061974"
"286","604","Opportunity for Kimberly Stewart","Open","2025-06-12 14:36:00.244333"
"287","606","Opportunity for Pam Harper","Closed Won","2025-07-20 11:57:37.039650"
"288","610","Opportunity for Sharon Smith","Open","2025-04-10 14:07:39.030289"
"289","612","Opportunity for Sandra Barber","Closed Won","2025-05-03 01:46:45.837870"
"290","613","Opportunity for Patrick Williams","Open","2025-06-15 19:38:46.197709"
"291","619","Opportunity for Emily Kaufman","Open","2025-07-30 07:36:31.278166"
"292","623","Opportunity for Brent Roth","Closed Won","2025-04-16 17:45:15.373046"
"293","624","Opportunity for Roberta Stevens","Open","2025-04-07 00:29:20.153432"
"294","629","Opportunity for Robert Chapman","Open","2025-05-02 23:09:17.812546"
"295","630","Opportunity for Amanda Cook","Closed Won","2025-07-05 20:10:57.449094"
"296","633","Opportunity for Robert Jacobson","Open","2025-05-19 11:22:59.049152"
"297","635","Opportunity for Katherine Hernandez","Open","2025-07-19 12:23:26.008894"
"298","636","Opportunity for David Miranda","Open","2025-06-30 22:47:25.388748"
"299","638","Opportunity for Carmen Reese","Closed Lost","2025-07-03 01:06:35.286064"
"300","639","Opportunity for Patricia James","Closed Lost","2025-05-07 09:16:27.791598"
"301","641","Opportunity for Kelly Sawyer","Closed Won","2025-05-30 01:43:21.061259"
"302","644","Opportunity for Abigail Oneill","Open","2025-06-26 21:51:30.389031"
"303","646","Opportunity for Katrina Davis","Closed Lost","2025-07-26 17:00:58.661871"
"304","653","Opportunity for Andrea Lewis","Open","2025-07-11 23:47:07.216444"
"305","655","Opportunity for Thomas Castillo","Closed Won","2025-05-22 14:52:24.090625"
"306","656","Opportunity for Peter Smith","Closed Lost","2025-06-05 23:22:03.846679"
"307","657","Opportunity for Michael Huang","Closed Lost","2025-05-02 21:27:22.631269"
"308","660","Opportunity for Edgar Henson","Closed Lost","2025-07-26 10:27:41.435551"
"309","661","Opportunity for Gina Moore","Closed Won","2025-04-13 22:48:57.859822"
"310","665","Opportunity for Martin Jones","Open","2025-07-13 06:33:31.890859"
"311","669","Opportunity for Jacob Fox","Closed Lost","2025-05-27 00:59:05.057954"
"312","670","Opportunity for Noah Rose","Open","2025-04-14 07:24:42.813066"
"313","674","Opportunity for David Nelson","Open","2025-05-28 23:11:34.723379"
"314","675","Opportunity for Lisa Marshall","Closed Won","2025-06-18 13:20:57.925967"
"315","676","Opportunity for Tiffany Anderson","Closed Won","2025-06-14 01:59:16.853535"
"316","677","Opportunity for Monique Vega","Closed Won","2025-06-11 18:00:23.121015"
"317","686","Opportunity for Christine Powell","Open","2025-05-08 19:12:23.309846"
"318","689","Opportunity for James Orozco","Open","2025-04-17 01:20:27.000128"
"319","690","Opportunity for Peter Ryan","Open","2025-04-21 21:39:32.624444"
"320","694","Opportunity for Vickie Allen","Closed Won","2025-05-16 01:54:33.273644"
"321","695","Opportunity for Beth Huber","Open","2025-07-27 14:07:38.672362"
"322","696","Opportunity for Sally Aguilar","Open","2025-06-23 22:35:54.512561"
"323","698","Opportunity for Brenda Hoffman","Open","2025-06-04 05:31:35.213940"
"324","699","Opportunity for Charles Prince","Open","2025-07-15 04:23:37.407982"
"325","703","Opportunity for Anthony Roth","Closed Lost","2025-07-28 18:24:58.719597"
"326","704","Opportunity for Michael Murray","Open","2025-07-26 00:24:33.574809"
"327","706","Opportunity for Patricia Rowe PhD","Open","2025-07-03 21:38:49.842787"
"328","707","Opportunity for Courtney Perkins","Closed Lost","2025-06-30 23:21:05.296586"
"329","708","Opportunity for Bobby Martin","Open","2025-06-15 21:52:28.609103"
"330","710","Opportunity for Nicole Gomez","Closed Won","2025-06-24 02:28:04.040020"
"331","712","Opportunity for Mario Wells","Closed Won","2025-08-10 01:39:12.045307"
"332","713","Opportunity for Paul Berry","Open","2025-07-08 17:43:10.180085"
"333","714","Opportunity for Paula Henry","Closed Won","2025-10-15 19:32:37.984094"
"334","716","Opportunity for Lisa Parsons","Closed Won","2025-10-18 22:22:19.494110"
