"deal_id","opportunity_id","deal_name","amount","closed_at"
"51","154","Deal with Daniel Olsen V","6500","2025-09-26 08:45:47.577499"
"52","159","Deal with Kristen Alexander","9271","2025-09-19 08:45:47.402347"
"53","160","Deal with Sherri Chavez","6084","2025-09-11 08:45:47.766015"
"54","162","Deal with Christina Hopkins","8688","2025-10-03 08:45:47.151163"
"55","165","Deal with Elijah Nelson","24011","2025-09-16 08:45:47.473218"
"56","166","Deal with Timothy Garcia","43683","2025-09-15 08:45:47.391532"
"57","167","Deal with Charles Joyce","43640","2025-09-29 08:45:47.748329"
"58","170","Deal with Mrs. Katherine Carter","34229","2025-09-24 08:45:47.785765"
"59","173","Deal with Amanda Gibson","10386","2025-09-13 08:45:47.003042"
"60","178","Deal with Kelly Randall","39825","2025-09-17 08:45:47.379949"
"61","179","Deal with Scott Nguyen","45109","2025-09-26 08:45:47.604696"
"62","185","Deal with Jeffrey Carlson","25429","2025-09-21 08:45:47.739863"
"63","186","Deal with Nancy Oconnor","34874","2025-09-19 08:45:47.751121"
"64","194","Deal with Robert Nicholson","29656","2025-09-16 08:45:47.816383"
"65","195","Deal with Alice Fox","26431","2025-09-14 08:45:47.871516"
"66","198","Deal with Gwendolyn Davis","16229","2025-09-18 08:45:47.799245"
"67","200","Deal with Tyler Moyer","46454","2025-09-16 08:45:47.332613"
"68","202","Deal with James Burns MD","20347","2025-09-13 08:45:47.243916"
"69","211","Deal with Nancy Brown","42622","2025-03-20 05:53:29.593131"
"70","212","Deal with Mrs. Kendra Williams","33199","2025-03-26 10:30:23.111484"
"71","219","Deal with Anna Shelton","27190","2025-05-02 18:12:05.168753"
"72","221","Deal with Gary Munoz","31932","2025-05-28 11:17:33.724040"
"73","224","Deal with Christopher Bailey","21373","2025-05-30 09:31:48.281033"
"74","225","Deal with Nathan Elliott","31066","2025-04-08 13:02:31.460469"
"75","228","Deal with Christopher Johnson","26450","2025-03-27 08:26:52.423312"
"76","234","Deal with Alexander Phillips","21174","2025-04-20 22:09:40.131799"
"77","236","Deal with Nancy Johnson","21230","2025-04-09 11:06:24.916971"
"78","239","Deal with Randy Garcia","11194","2025-03-26 19:28:59.907408"
"79","240","Deal with Katie Thomas","10933","2025-04-09 16:30:43.510912"
"80","242","Deal with Jermaine Dominguez","43880","2025-04-03 01:32:21.278123"
"81","245","Deal with Jeffrey Hanna","42592","2025-02-25 09:42:25.575197"
"82","248","Deal with Daniel Jones","39293","2025-05-25 07:42:17.667586"
"83","250","Deal with Zachary Rose","13064","2025-07-05 12:22:17.326986"
"84","251","Deal with Melanie Watts","20612","2025-06-11 16:53:22.196896"
"85","254","Deal with Carl Thomas","45695","2025-07-08 04:17:04.267949"
"86","255","Deal with Steven Davis","36993","2025-07-03 11:50:45.815308"
"87","256","Deal with Alexandra Martin","37786","2025-07-08 14:32:27.074222"
"88","257","Deal with Tiffany Garcia","28506","2025-07-17 16:13:17.135616"
"89","258","Deal with Julie Taylor","8617","2025-05-27 04:04:36.984482"
"90","260","Deal with Steven Wood","40653","2025-06-24 19:44:58.143233"
"91","261","Deal with Kathryn Hopkins","31214","2025-05-28 18:28:45.186680"
"92","263","Deal with Kara Callahan","17274","2025-07-24 05:39:01.107739"
"93","267","Deal with Wendy Tanner","43819","2025-07-18 13:34:27.574109"
"94","269","Deal with Steven Gonzalez","15294","2025-05-10 09:10:29.740489"
"95","272","Deal with Michael Haynes","15955","2025-07-09 21:29:26.748657"
"96","276","Deal with Jacqueline Aguilar","16871","2025-06-29 19:25:09.081221"
"97","279","Deal with William Strickland","27292","2025-06-11 09:37:19.777934"
"98","284","Deal with Rebecca Wallace","38570","2025-07-02 13:57:45.515641"
"99","287","Deal with Pam Harper","32702","2025-07-28 11:57:37.039650"
"100","289","Deal with Sandra Barber","46151","2025-05-13 01:46:45.837870"
"101","292","Deal with Brent Roth","26150","2025-05-05 17:45:15.373046"
"102","295","Deal with Amanda Cook","7738","2025-07-24 20:10:57.449094"
"103","301","Deal with Kelly Sawyer","9770","2025-06-05 01:43:21.061259"
"104","305","Deal with Thomas Castillo","6047","2025-06-04 14:52:24.090625"
"105","309","Deal with Gina Moore","28909","2025-04-29 22:48:57.859822"
"106","314","Deal with Lisa Marshall","44517","2025-06-21 13:20:57.925967"
"107","315","Deal with Tiffany Anderson","29493","2025-06-27 01:59:16.853535"
"108","316","Deal with Monique Vega","13081","2025-06-14 18:00:23.121015"
"109","320","Deal with Vickie Allen","13299","2025-05-25 01:54:33.273644"
"110","330","Deal with Nicole Gomez","45557","2025-06-30 02:28:04.040020"
"111","331","Deal with Mario Wells","7842","2025-08-30 01:39:12.045307"
"112","333","Deal with Paula Henry","15533","2025-10-23 19:32:37.984094"
"113","334","Deal with Lisa Parsons","44310","2025-11-03 22:22:19.494110"
"114","343","Deal with Karen Walker","37330","2025-09-23 19:47:25.335621"
"115","344","Deal with Troy Figueroa","29862","2025-09-27 04:20:02.475500"
"116","346","Deal with Amy Mcdonald","36376","2025-07-30 16:20:02.004472"
"117","350","Deal with Jennifer Graham","28849","2025-07-25 03:31:40.097635"
"118","353","Deal with Matthew Horne","37419","2025-10-09 10:43:14.192583"
"119","358","Deal with Jamie Blair","19513","2025-09-02 08:05:50.451815"
"120","360","Deal with Jorge Travis","13026","2025-08-25 06:56:18.767599"
"121","365","Deal with Jesse Hayes","33689","2025-08-09 00:40:22.806393"
"122","366","Deal with Mary Adams","15966","2025-10-27 04:28:47.204394"
"123","371","Deal with Jason Reed","26431","2025-11-03 00:16:47.621912"
"124","372","Deal with Robert Murillo","39947","2025-08-24 21:08:42.838655"
"125","376","Deal with Jamie Wang","15955","2025-10-29 21:27:54.913906"
"126","378","Deal with Rebekah Hill","46441","2025-09-17 12:41:24.115910"
"127","384","Deal with Shawn Gray","7006","2025-04-05 15:27:40.420465"
"128","387","Deal with Zachary Brown","21690","2025-03-19 11:43:40.004133"
"129","390","Deal with Katrina Howard","46350","2025-03-19 05:23:19.726319"
"130","392","Deal with Barbara Hayes","5409","2025-03-26 13:36:55.640618"
"131","398","Deal with Tammy Krueger","24085","2025-03-04 14:57:42.953160"
"132","403","Deal with Christine Schwartz","45474","2025-02-22 08:34:54.403153"
"133","406","Deal with Jonathan Richardson","12036","2025-03-16 02:04:22.740536"
"134","407","Deal with Trevor Richardson","37100","2025-03-19 02:30:40.541772"
"135","408","Deal with Crystal Ramsey","42276","2025-04-07 17:36:56.723606"
"136","411","Deal with Sylvia Blair","40552","2025-03-27 06:41:18.045298"
"137","425","Deal with Bethany Garcia","44461","2025-03-24 12:18:49.775085"
"138","427","Deal with Jimmy Garcia","5313","2025-06-21 10:11:23.769394"
"139","430","Deal with Sandra Baxter","31438","2025-07-20 20:37:32.740255"
"140","433","Deal with Leslie Fischer","26781","2025-08-09 10:34:30.706131"
"141","435","Deal with Gary Morgan","5250","2025-08-07 22:05:01.818058"
"142","436","Deal with Ashley Clark","46580","2025-08-03 20:35:47.095580"
"143","437","Deal with Scott Shepherd","40378","2025-08-13 16:47:04.228263"
"144","441","Deal with Kathy Miller","31324","2025-07-31 19:59:17.982891"
"145","442","Deal with Daniel Bowen","8433","2025-07-05 13:34:00.945260"
"146","445","Deal with Kristen Nguyen","6437","2025-07-18 01:21:53.132403"
"147","446","Deal with Kevin Barrera","49672","2025-07-26 12:56:47.604803"
"148","449","Deal with Dr. Michael Stephenson","33421","2025-08-02 07:51:58.111248"
"149","451","Deal with Julie Hernandez","20017","2025-07-21 15:22:58.522462"
"150","457","Deal with Dr. Paul Pugh","6941","2025-08-20 21:54:36.086823"
"151","460","Deal with Karen Moran","8036","2025-07-16 22:42:15.024887"
"152","462","Deal with Christopher Logan","35528","2025-08-02 18:18:33.140817"
"153","464","Deal with Phillip Hughes","18082","2025-08-03 20:10:42.807548"
"154","470","Deal with William Flores","5076","2025-08-04 10:31:11.924072"
"155","473","Deal with Rebecca Scott","47500","2025-09-01 22:23:48.085476"
"156","474","Deal with Kelsey Hernandez","16514","2025-09-13 22:23:48.804726"
"157","477","Deal with Sabrina Campbell","44658","2025-09-13 22:23:48.035024"
"158","479","Deal with Tracy Gordon","42449","2025-09-16 22:23:48.732382"
"159","483","Deal with Marcus Salas","16800","2025-09-20 22:23:48.874522"
"160","494","Deal with Carlos Anderson","24513","2025-08-31 22:23:48.298772"
"161","495","Deal with Kathleen Ryan","42355","2025-09-10 22:23:48.888048"
"162","497","Deal with Ricky Miller","17740","2025-09-11 22:23:48.877921"
"163","501","Deal with Melissa Hernandez MD","47117","2025-09-17 22:23:48.570177"
"164","503","Deal with Kimberly Stevens","45321","2025-08-29 22:23:48.206573"
"165","504","Deal with Lisa Graham","49716","2025-08-29 22:23:48.234901"
"166","512","Deal with Lori Rogers","5998","2025-09-07 22:23:48.757266"
"167","514","Deal with Teresa Stone","6240","2025-06-29 16:30:18.509070"
"168","517","Deal with Kristina Garza","9776","2025-06-03 13:01:06.066887"
"169","520","Deal with Jordan Watson","42108","2025-06-16 13:18:30.719335"
"170","522","Deal with James Prince","37008","2025-06-21 09:18:30.802960"
"171","525","Deal with Brandon Mueller","31260","2025-06-05 03:51:59.320299"
"172","526","Deal with Michelle West","47732","2025-06-21 21:45:37.974571"
"173","527","Deal with Jennifer Young","21654","2025-06-06 09:27:43.437582"
"174","528","Deal with Joseph Bailey","13720","2025-06-11 12:01:43.149362"
"175","530","Deal with Curtis Bowers DDS","11803","2025-07-04 08:36:22.679522"
"176","531","Deal with Julie Moore","24728","2025-07-12 04:45:34.751357"
"177","532","Deal with Isaac Fox","14716","2025-06-12 04:09:16.281400"
"178","537","Deal with John Allen","39542","2025-06-01 15:50:33.219732"
"179","542","Deal with Lisa Stephens","46991","2025-06-09 20:02:28.222076"
"180","543","Deal with Mrs. Krystal Henry","32022","2025-07-08 04:04:47.740745"
"181","544","Deal with Kim Thomas","49480","2025-07-09 05:38:42.399090"
"182","546","Deal with Victor Velez","36495","2025-07-17 03:20:11.987720"
"183","548","Deal with David Pearson","27972","2025-08-01 19:17:39.744475"
"184","550","Deal with Cheryl Jones","46570","2025-06-09 00:31:50.311266"
"185","563","Deal with Caitlin Richardson","24383","2025-06-16 20:24:55.756513"
"186","564","Deal with Colton Lee","46352","2025-06-15 22:46:43.723424"
"187","566","Deal with Jessica Smith","12171","2025-07-05 00:24:49.352912"
"188","569","Deal with Aaron Melendez","40776","2025-06-10 08:00:38.324244"
"189","571","Deal with Christine Richardson","31935","2025-05-08 17:29:39.403309"
"190","573","Deal with Samantha Valencia","31342","2025-06-23 08:52:37.340358"
"191","576","Deal with Paul Butler","48893","2025-06-09 16:38:27.839303"
"192","578","Deal with Jaime Peterson","10507","2025-04-20 22:08:56.461581"
"193","580","Deal with Dylan Wilson","33457","2025-07-10 23:58:12.600918"
"194","582","Deal with Rachel Moore","33897","2025-07-06 22:02:48.011515"
"195","588","Deal with Lauren Nichols","24477","2025-06-21 11:39:29.886547"
"196","591","Deal with Sabrina Baker","17625","2025-04-09 07:02:27.856833"
"197","596","Deal with Cole Frederick","35588","2025-05-10 10:37:33.380443"
"198","599","Deal with Dr. Rita Campbell","40373","2025-04-21 16:04:41.664649"
"199","602","Deal with Emma Dorsey","41156","2025-05-30 05:15:50.569908"
"200","607","Deal with Melissa Cline","16132","2025-06-09 03:36:28.664541"
"201","608","Deal with Martin Spears","32504","2025-04-15 19:11:36.078189"
"202","618","Deal with Jason Harris","33750","2025-04-23 20:23:27.065325"
"203","619","Deal with David Herrera","45500","2025-06-29 21:28:07.964772"
"204","628","Deal with John Fisher","10700","2025-09-20 12:11:31.542187"
"205","634","Deal with Cynthia Stewart","40873","2025-09-19 12:11:31.218565"
"206","636","Deal with Grant Logan","21179","2025-09-19 12:11:31.841365"
"207","639","Deal with Jose Allen","12855","2025-09-24 12:11:31.739092"
"208","641","Deal with Robert Brown","27707","2025-09-17 12:11:31.449146"
"209","642","Deal with Jeremy Alexander","20479","2025-09-13 12:11:31.551393"
"210","644","Deal with Alex Morris Jr.","46079","2025-09-26 12:11:31.996704"
"211","647","Deal with James Knight","25443","2025-09-18 12:11:31.286849"
"212","648","Deal with Nicole Curry","20344","2025-10-05 12:11:31.573102"
"213","657","Deal with Amanda Banks","13672","2025-09-19 12:11:31.842515"
"214","660","Deal with Joseph Gallegos","33186","2025-10-06 12:11:31.443822"
"215","663","Deal with Stephanie Rios","46205","2025-09-13 12:11:31.472824"
"216","664","Deal with Katherine Huang","24950","2025-09-18 12:11:31.513447"
"217","668","Deal with Kevin Wood","5725","2025-08-09 04:09:39.887551"
"218","669","Deal with Kimberly Owen","6136","2025-08-02 05:15:33.197290"
"219","674","Deal with Thomas Flynn","15479","2025-08-10 17:15:49.532953"
"220","682","Deal with Duane Richardson","47363","2025-08-06 01:30:18.896814"
"221","685","Deal with Andrea Burke","34845","2025-08-09 03:55:00.378524"
"222","686","Deal with Chelsea Walter","29014","2025-07-31 22:46:26.303309"
"223","689","Deal with Mark Smith","5006","2025-08-12 01:27:22.360853"
"224","691","Deal with Wendy Meyer","17999","2025-08-20 11:41:11.950433"
"225","695","Deal with Sara Johnston","27796","2025-08-01 17:43:00.137301"
"226","698","Deal with Spencer Smith","33352","2025-08-02 10:13:49.622235"
"227","700","Deal with Dr. Thomas Wilson","22052","2025-08-11 09:19:48.184330"
"228","701","Deal with Kimberly Sanchez","8749","2025-08-18 06:29:21.748192"
"229","704","Deal with Sarah Williams","23756","2025-08-13 14:50:08.283407"
"230","706","Deal with Alexander Sullivan","47997","2025-08-05 01:32:50.323354"
"231","707","Deal with Mark Harrison","45588","2025-08-15 21:40:37.622261"
"232","711","Deal with Diane Morgan","12562","2025-08-17 02:44:48.639597"
"233","714","Deal with David Payne","22012","2025-07-29 07:47:36.196442"
"234","716","Deal with David Joseph","46808","2025-11-10 01:15:52.034853"
"235","719","Deal with Mr. Jay Lewis","9625","2025-11-19 18:34:39.455088"
"236","721","Deal with Dr. Benjamin Gomez","5875","2025-11-09 05:57:52.513501"
"237","723","Deal with Amber Thompson","15144","2025-11-03 04:07:24.318425"
"238","724","Deal with John Gordon","40356","2025-10-23 18:22:02.691274"
"239","725","Deal with Carrie Stone","7660","2025-09-08 21:52:42.399107"
"240","729","Deal with Chelsea Mcneil","25593","2025-10-09 13:08:19.940959"
"241","730","Deal with Paul Romero","37582","2025-11-28 08:36:50.775963"
"242","731","Deal with Amy Jensen","11334","2025-10-26 06:34:30.850479"
"243","732","Deal with Sarah Perry","32590","2025-09-13 07:47:44.467260"
"244","736","Deal with Patrick Kerr","13248","2025-09-17 00:23:26.321854"
"245","737","Deal with Matthew Cooley","17874","2025-09-30 04:17:13.423042"
"246","749","Deal with Brian Wilson","12843","2025-09-19 05:07:39.645798"
"247","750","Deal with Vanessa Meyer","45473","2025-10-06 23:04:50.158521"
"248","752","Deal with Abigail Schneider","25409","2025-11-03 06:56:58.842404"
"249","754","Deal with Sara Knight","35802","2025-11-07 17:15:09.040116"
"250","763","Deal with Jared Williams","35396","2025-11-26 21:34:39.585572"
"251","764","Deal with Colton Oliver","32851","2025-10-28 16:51:49.601290"
"252","766","Deal with Jessica Wells","29289","2025-08-28 23:13:27.780804"
"253","767","Deal with Christopher Davis","39637","2025-09-16 15:40:36.849320"
"254","768","Deal with Austin King","32805","2025-09-29 09:00:35.953151"
"255","769","Deal with Andrew Salazar","5552","2025-11-14 08:58:51.091919"
"256","770","Deal with Scott Miller","35284","2025-09-03 09:56:27.770936"
"257","774","Deal with Melissa Smith","43348","2025-10-10 13:11:35.763327"
"258","775","Deal with Katherine Atkinson","43339","2025-10-02 13:11:35.109059"
"259","785","Deal with Ashley Young","21528","2025-10-19 13:11:35.928970"
"260","786","Deal with Richard Flores","47409","2025-10-21 13:11:35.518785"
"261","788","Deal with Kelly Pearson","7807","2025-10-03 13:11:35.697786"
"262","789","Deal with Matthew Carson","33943","2025-10-05 13:11:35.099668"
"263","790","Deal with Anthony Lucas","24828","2025-10-14 13:11:35.872251"
"264","792","Deal with Charles Dunn","34934","2025-10-08 13:11:35.469774"
"265","796","Deal with Amanda Roberts","11805","2025-10-18 13:11:35.507424"
"266","797","Deal with Cynthia Macias","35614","2025-10-11 13:11:35.758055"
"267","801","Deal with Evan Stokes","38620","2025-10-15 13:11:35.266265"
"268","802","Deal with Alexander Wilson","18094","2025-10-11 13:11:35.196856"
"269","809","Deal with Garrett Jackson","12151","2025-10-10 13:11:35.778158"
"270","814","Deal with Reginald Davis","32960","2025-10-06 13:11:35.737666"
"271","816","Deal with Stacie Hunt","10085","2025-10-23 13:11:35.515560"
"272","817","Deal with Jaime Padilla","43501","2025-10-11 13:11:35.676249"
"273","819","Deal with Jaime Lowe","22569","2025-10-10 13:11:35.724129"
"274","820","Deal with Randall Potter","11664","2025-09-28 13:11:35.098010"
"275","825","Deal with Michael Lewis","36414","2025-10-18 13:11:35.820564"
"276","826","Deal with David Hawkins","43013","2025-04-28 12:26:48.468384"
"277","832","Deal with Stephanie Bishop","8555","2025-04-29 00:07:49.011852"
"278","835","Deal with Debra Richards","30195","2025-05-08 02:22:29.237144"
"279","836","Deal with Michelle Russo","34770","2025-04-30 09:26:08.475955"
"280","838","Deal with Aaron Newton","7085","2025-04-22 14:27:58.761757"
"281","841","Deal with James Oneill","42368","2025-05-03 15:53:40.301158"
"282","844","Deal with Stephanie Garcia","44359","2025-04-30 20:45:11.076083"
"283","846","Deal with James Davis","38894","2025-05-07 07:33:56.180398"
"284","849","Deal with Mrs. Taylor Foster MD","23284","2025-05-11 14:08:26.979988"
"285","853","Deal with Kristy Durham","11788","2025-04-26 17:10:16.022572"
"286","866","Deal with Jennifer Dodson","32022","2025-04-20 20:29:57.079702"
"287","870","Deal with Claudia Davis","5753","2025-05-09 13:35:13.386314"
"288","871","Deal with Carrie Blair","10243","2025-05-14 20:08:41.073112"
"289","872","Deal with Michele Lee","25137","2025-05-02 15:19:16.369670"
"290","873","Deal with Mr. Robert Tucker","10086","2025-05-01 17:14:01.335482"
"291","875","Deal with Ronald Rodriguez","18483","2025-05-14 00:58:43.426194"
"292","877","Deal with Mitchell Sanders","24765","2025-05-05 02:14:44.614441"
"293","878","Deal with Christina Romero","35769","2025-04-25 21:00:00.632141"
"294","880","Deal with Ryan Smith","23428","2025-05-02 06:10:31.369679"
"295","883","Deal with Steven Garcia","42521","2025-06-23 19:03:00.220006"
"296","884","Deal with Julia Mcdonald","35332","2025-06-11 19:03:00.374624"
"297","889","Deal with Terry Mcgee","49045","2025-06-20 19:03:00.560730"
"298","894","Deal with Roy Matthews","32157","2025-06-05 19:03:00.038900"
"299","905","Deal with Elizabeth Mitchell","38850","2025-06-07 19:03:00.707838"
"300","912","Deal with Kim Dillon","38949","2025-06-16 19:03:00.901611"
"301","916","Deal with Matthew Bridges","15966","2025-06-07 19:03:00.091908"
"302","920","Deal with Amanda Torres","39095","2025-06-19 19:03:00.778670"
"303","922","Deal with Spencer Cruz","36314","2025-06-19 19:03:00.216310"
"304","923","Deal with Mark Hanson","28090","2025-06-21 19:03:00.425651"
"305","928","Deal with Ann Taylor","43445","2025-06-06 19:03:00.788263"
"306","929","Deal with Michael Eaton","29573","2025-06-13 19:03:00.242879"
"307","930","Deal with Mike Monroe","21931","2025-06-04 19:03:00.001662"
"308","933","Deal with Sara Patel","37983","2025-09-09 15:06:41.940459"
"309","934","Deal with Tricia Harris","40367","2025-07-23 18:46:13.402659"
"310","935","Deal with Tammy Green","49183","2025-08-08 16:45:23.179834"
"311","936","Deal with Kirk Taylor","17501","2025-09-17 17:23:17.265219"
"312","939","Deal with Timothy Garcia","36457","2025-09-11 05:37:27.936797"
"313","941","Deal with Kimberly Lopez","31059","2025-08-21 18:34:10.330773"
"314","942","Deal with Charles Hanson","32567","2025-08-21 06:44:49.471198"
"315","951","Deal with Briana Frost","5209","2025-08-16 21:26:51.791357"
"316","952","Deal with Peter Hendricks","48422","2025-07-13 21:29:36.308589"
"317","953","Deal with Troy Collier","31694","2025-08-06 14:12:00.384693"
"318","955","Deal with Shawn Lane","13184","2025-09-26 05:06:41.701841"
"319","956","Deal with Peggy Knox","5047","2025-07-25 20:41:13.173358"
"320","958","Deal with Christopher Pacheco","37281","2025-07-22 21:02:28.287836"
"321","960","Deal with Trevor Rodgers","44128","2025-10-05 14:34:27.753463"
"322","966","Deal with Benjamin Sandoval","23667","2025-08-04 14:15:43.910672"
"323","967","Deal with Ashley Perez","40620","2025-09-12 17:03:08.436241"
"324","970","Deal with Barbara Campbell","11089","2025-09-29 08:59:28.840317"
"325","978","Deal with Tanya Downs","5507","2025-07-29 20:55:28.144865"
"326","979","Deal with Ryan Price","39746","2025-09-23 01:01:25.556470"
"327","981","Deal with Eric Harris","43217","2025-03-22 02:39:28.798230"
"328","983","Deal with Alan Hahn","25948","2025-03-31 08:25:25.584878"
"329","985","Deal with Alexander Warner Jr.","25890","2025-03-28 07:06:59.500669"
"330","987","Deal with Christine Peterson","25415","2025-04-02 06:53:13.549807"
"331","993","Deal with Christina Riley","48720","2025-03-31 04:19:12.924683"
"332","996","Deal with Matthew Williams","27901","2025-04-03 07:04:11.274384"
"333","998","Deal with Melissa Thomas","28739","2025-04-03 09:09:55.616679"
"334","1002","Deal with Rachel Bartlett","16573","2025-03-20 07:19:36.420893"
"335","1004","Deal with Michelle Turner","42266","2025-04-01 04:04:37.459606"
"336","1007","Deal with Anthony Green","6803","2025-04-03 06:18:25.899071"
"337","1013","Deal with Stephanie Harrell","32865","2025-04-03 03:03:15.210901"
"338","1017","Deal with Michael Castro","39448","2025-03-31 07:15:34.070001"
"339","1020","Deal with Nancy Chaney","26383","2025-03-19 08:13:17.856367"
"340","1029","Deal with Jamie Ray","25719","2025-08-14 18:04:32.549437"
"341","1030","Deal with Diana Weaver","26933","2025-08-08 18:04:32.764458"
"342","1034","Deal with Christopher Fitzpatrick","5723","2025-08-08 18:04:32.423096"
"343","1036","Deal with Bryan Wade","46912","2025-08-24 18:04:32.911795"
"344","1040","Deal with John Chaney","29126","2025-08-04 18:04:32.780433"
"345","1044","Deal with Gilbert Sullivan","39810","2025-08-17 18:04:32.302783"
"346","1047","Deal with Bryan Moore","12657","2025-08-12 18:04:32.522268"
"347","1056","Deal with James Thompson","23828","2025-08-06 18:04:32.879169"
"348","1057","Deal with Danielle Alvarez","33453","2025-08-08 18:04:32.840762"
"349","1060","Deal with Kelsey Green","27726","2025-08-02 18:04:32.832766"
"350","1062","Deal with Jonathan Mason","16722","2025-08-21 18:04:32.416569"
"351","1066","Deal with Nathan Rivera","41119","2025-08-17 18:04:32.419544"
"352","1069","Deal with Douglas Thompson","19463","2025-08-10 18:04:32.363550"
"353","1071","Deal with Jeffrey Jackson","36509","2025-09-15 09:17:31.616121"
"354","1080","Deal with Michael Moreno V","15284","2025-09-14 09:17:31.188956"
"355","1082","Deal with Kimberly Harrison","27065","2025-09-03 09:17:31.052248"
"356","1084","Deal with Andrew Johnson","36001","2025-08-29 09:17:31.005449"
"357","1085","Deal with Maria Moore","34572","2025-09-01 09:17:31.622249"
"358","1086","Deal with Katherine Compton","27990","2025-09-10 09:17:31.956941"
"359","1089","Deal with Michael Walker","33214","2025-08-31 09:17:31.100623"
"360","1092","Deal with Peter Green","44031","2025-08-29 09:17:31.668223"
"361","1097","Deal with Shane Alvarado","32660","2025-09-14 09:17:31.075428"
"362","1099","Deal with Marie Powers","13737","2025-08-24 09:17:31.089387"
"363","1102","Deal with Anthony Ewing","27074","2025-08-28 09:17:31.806354"
"364","1107","Deal with Michelle Robles","23701","2025-09-04 09:17:31.736651"
"365","1111","Deal with Melody Hernandez","39051","2025-08-27 09:17:31.151825"
"366","1114","Deal with Ethan Wagner","47881","2025-08-27 09:17:31.174469"
"367","1115","Deal with April Simpson","18644","2025-08-23 09:17:31.798067"
"368","1120","Deal with Kari Wells","26768","2025-09-09 09:17:31.569293"
"369","1121","Deal with Ryan Gomez","20430","2025-08-24 09:17:31.019834"
